Question_code;Question;Совсем нет;Чуть-чуть;В какой-то мере;Достаточно значимо;Очень сильно
GENERAL-F;Меня беспокоит зуд, дискомфорт слизистой влагалища;0;1;2;3;4
GENERAL-F;Меня беспокоит боль в уретре;0;1;2;3;4
CRITICAL-M;Меня беспокоят кровянистые выделения из уретры;0;1;2;3;4
CRITICAL-M;Меня беспокоит отек мошонки;0;1;2;3;4
CRITICAL;Меня беспокоит цвет мочи;0;1;2;3;4
GENERAL;У меня имеются боли на голодный желудок;0;1;2;3;4
GENERAL;У меня имеются боли сразу после приема пищи;0;1;2;3;4
GENERAL;У меня есть боли при мочеискускании;0;1;2;3;4
GENERAL;У меня есть рези при мочеиспускании;0;1;2;3;4
GENERAL;У меня есть ложные позывы на мочеиспускание;0;1;2;3;4
GENERAL;У меня есть больв животе, которая усиливается при дефекации;0;1;2;3;4
CRITICAL;У меня есть боль в прямой кишке, которая усиливается при дефекации;0;1;2;3;4
CRITICAL;У меня есть раздражение в области ануса;0;1;2;3;4
GE2;Я удовлетворен тем, как я справляюсь с заболеванием;0;1;2;3;4
GE3;Я теряю надежду в борьбе с моим заболеванием;0;1;2;3;4
GE4;Я нервничаю;0;1;2;3;4
GE5;Я боюсь смерти;0;1;2;3;4
GE6;Я боюсь, что мое состояние станет хуже;0;1;2;3;4
GF1;Я способен работать (включая, работу на дому);0;1;2;3;4
GF2;Я доволен своей работой (включая, работу на дому);0;1;2;3;4
GF3;Я способен наслаждаться жизнью;0;1;2;3;4
GF4;Я свыкся со своей болезнью;0;1;2;3;4
GF5;Я хорошо сплю;0;1;2;3;4
GF6;Я получаю удовольствие от обычных развлечений;0;1;2;3;4
GF7;Я доволен качеством своей жизни в настоящий момент;0;1;2;3;4
BMT1;Я волнуюсь о сохранении своей работы (включая, работу на дому);0;1;2;3;4
BMT2;Я чувствую себя отстраненным от других людей;0;1;2;3;4
BMT3;Я боюсь, что лечение не поможет;0;1;2;3;4
GS7;Я удовлетворен своей сексуальной жизнью;0;1;2;3;4
CRITICAL, BMT4;Побочные эффекты лечения хуже, чем я мог себе представить;0;1;2;3;4
C6;У меня хороший аппетит;0;1;2;3;4
C7;Мне нравится вид моего тела;0;1;2;3;4
BMT5;Я могу справляться сам по себе;0;1;2;3;4
BMT7;Меня мучают сомнения о возможности иметь детей;0;1;2;3;4
BMT8;Я доверяю мед. сестре (сестрам);0;1;2;3;4
CRITICAL,BMT9;Я сожалею, что согласился на трансплантацию;0;1;2;3;4
BMT10;Я могу запоминать события и информацию;0;1;2;3;4
Br1;Я могу сконцентрироваться;0;1;2;3;4
CRITICAL,BMT17;Моя болезнь – это личное испытание для ближайших членов моей семьи;0;1;2;3;4
CRITICAL,BMT18;Стоимость моего лечения обременительна для меня и моей семьи;0;1;2;3;4
CRITICAL;Моя болезнь находится в ремиссии;да;нет;;;
CRITICAL;Моя болезнь прогрессирует;да;нет;;;
CRITICAL;У меня бывает кровь в мокроте;да;нет;;;
CRITICAL;У меня бывают обильные носовые кровотечения;да;нет;;;
CRITICAL;Объем мочи не достигает 500 мл в сутки;да;нет;;;
CRITICAL;У меня красная моча;да;нет;;;
CRITICAL;У меня моча со сгустками крови;да;нет;;;
CRITICAL;У меня есть кровь в стуле;да;нет;;;
CRITICAL;У меня диарея;да;нет;;;
CRITICAL;Объем жидкого стула достигает более 500 мл в сутки;да;нет;;;
CRITICAL;У меня есть анальная трещина;да;нет;;;
CRITICAL;У меня часто возникает рвота;да;нет;;;
CRITICAL;У меня отекает лицо;да;нет;;;
CRITICAL;У меня отекают голени;да;нет;;;
CRITICAL;У меня отекают стопы;да;нет;;;
CRITICAL;У меня отекают кисти;да;нет;;;
CRITICAL;Зона в области шеи и плеч стала толще;да;нет;;;
CRITICAL;Я испытываю повышенное потоотделение;да;нет;;;
CRITICAL;Я имею часто повышенное АД;да;нет;;;
CRITICAL;Я часто фиксирую повышенный ритм пульса;да;нет;;;
OPEN;Последние три измеренных значения пульса за последние трое суток;ввести;;;;
OPEN;Посдение три значения АД за последние трое суток;ввести;;;;
OPEN;Последний известный гемоглобин (если известен);ввести;;;;
OPEN;Последний известные лейкоциты (если известны);ввести;;;;
OPEN;Последний известные тромбоциты (если известны);ввести;;;;
OPEN;Последняя известный билирубин (если известен);ввести;;;;
OPEN;Последняя известная АЛТ (если известна);ввести;;;;
OPEN;Опишите цвет мочи;ввести;;;;
OPEN;Опишите характер стула;ввести;;;;
